Date,Firm,To Grade,From Grade,Action
2012-07-11,BMO Capital,Market Perform,,init
2012-07-17,Lazard,Buy,,init
2012-07-27,Deutsche Bank,Buy,,main
2012-07-27,Oppenheimer,Outperform,,main
2012-08-31,PiperJaffray,Overweight,,main
2012-09-07,Bank of America,Buy,,main
2012-09-11,Barclays,Equal-Weight,,main
2012-09-21,Cantor Fitzgerald,Buy,,init
2012-10-25,Barclays,Equal-Weight,,main
2013-01-07,Morgan Stanley,Overweight,,up
2013-01-09,Benchmark,Buy,,main
2013-01-18,Pacific Crest,Outperform,,up
2013-01-24,ISI Group,Buy,,init
2013-01-25,ISI Group,Buy,,init
2013-01-25,Canaccord Genuity,Hold,,main
2013-01-28,BGC Financial,Hold,,main
2013-01-28,PiperJaffray,Overweight,,main
2013-01-28,PiperJaffray,Overweight,,main
2013-01-30,Canaccord Genuity,Hold,,main
2013-01-30,Credit Suisse,Outperform,,main
2013-01-30,Barclays,Equal-Weight,,main
2013-01-30,Oppenheimer,Outperform,,main
2013-01-30,Nomura,Buy,,main
2013-01-30,Credit Agricole,Outperform,,down
2013-01-30,Deutsche Bank,Buy,,main
2013-01-30,Jefferies,Buy,,main
2013-02-20,Nomura,Buy,,main
2013-03-14,PiperJaffray,Neutral,,down
2013-03-19,JMP Securities,Market Perform,,init
2013-04-17,Nomura,Buy,,main
2013-04-22,Bank of America,Buy,,main
2013-04-26,Credit Suisse,Outperform,,main
2013-05-02,Tigress Financial,Buy,,init
2013-05-16,Lazard,Buy,,init
2013-07-09,Citigroup,Buy,,init
2013-07-10,Susquehanna,Positive,,init
2013-07-16,SunTrust Robinson Humphrey,Buy,,init
2013-07-26,BMO Capital,Market Perform,,main
2013-07-26,Nomura,Buy,,main
2013-09-11,Wedbush,Neutral,,init
2013-09-19,CRT Capital,Buy,,init
2013-10-18,UBS,Buy,,up
2013-10-22,Bank of America,Buy,,main
2013-10-25,Benchmark,Buy,,main
2013-10-25,Raymond James,Strong Buy,,up
2013-10-28,Deutsche Bank,Buy,,main
2013-10-28,Standpoint,Sell,,init
2013-11-14,SunTrust Robinson Humphrey,Buy,,main
2013-12-17,Credit Suisse,Outperform,,main
2013-12-31,Citigroup,Buy,,main
2014-01-03,Topeka,Buy,,main
2014-01-06,Morgan Stanley,Overweight,,main
2014-01-10,Susquehanna,Positive,,main
2014-01-14,FBN Securities,Outperform,,init
2014-01-27,Pacific Crest,Outperform,,main
2014-01-31,Bank of America,Buy,,main
2014-01-31,Benchmark,Buy,,main
2014-01-31,UBS,Buy,,main
2014-01-31,Citigroup,Neutral,,main
2014-01-31,FBN Securities,Outperform,,main
2014-01-31,Stifel Nicolaus,Buy,,main
2014-01-31,Stifel Nicolaus,Sell,,down
2014-01-31,Stifel Nicolaus,Buy,,main
2014-02-12,UBS,Neutral,,down
2014-04-16,Argus Capital,Buy,,up
2014-04-25,SunTrust Robinson Humphrey,Buy,,main
2014-04-25,Credit Suisse,Outperform,,main
2014-04-25,UBS,Neutral,,main
2014-04-25,Cantor Fitzgerald,Buy,,main
2014-04-25,Deutsche Bank,Buy,,main
2014-04-25,JP Morgan,Neutral,,main
2014-04-25,Raymond James,Outperform,,down
2014-04-30,Edward Jones,Buy,,init
2014-06-26,Barclays,Equal-Weight,,init
2014-07-22,Citigroup,Neutral,,down
2014-07-25,UBS,Neutral,,main
2014-07-25,B. Riley,Neutral,,down
2014-07-25,Raymond James,Market Perform,,down
2014-07-25,Canaccord Genuity,Hold,,main
