Date,Firm,To Grade,From Grade,Action
2014-12-17,Pivotal Research,Buy,,up
2015-01-08,Stifel,Hold,,down
2015-01-14,Credit Suisse,Outperform,,main
2015-01-30,Citigroup,Buy,,main
2015-01-30,Barclays,Overweight,,main
2015-03-02,Bank of America,Buy,,up
2015-03-06,Citigroup,Buy,,main
2015-04-21,SunTrust Robinson Humphrey,Buy,,main
2015-04-24,CRT Capital,Buy,,main
2015-07-13,Pivotal Research,Hold,,down
2015-07-16,BMO Capital,Outperform,,up
2015-07-17,Bernstein,Outperform,,main
2015-07-17,JMP Securities,Market Perform,,main
2015-07-17,Jefferies,Buy,,main
2015-07-17,Mizuho,Neutral,,main
2015-07-17,MKM Partners,Buy,,init
2015-07-20,Argus Research,Buy,,main
2015-08-12,Morgan Stanley,Overweight,,up
2015-08-26,Goldman Sachs,Buy,,up
2015-09-21,JMP Securities,Market Outperform,,main
2015-10-09,Credit Suisse,Outperform,,main
2015-10-23,Macquarie,Outperform,,main
2016-01-12,Credit Suisse,Outperform,,main
2016-02-02,KeyBanc,Overweight,,main
2016-02-02,Cantor Fitzgerald,Buy,,main
2016-02-02,Stifel Nicolaus,Buy,,main
2016-02-02,Barclays,Overweight,,main
2016-02-02,Nomura,Buy,,main
2016-04-01,Citigroup,Neutral,,main
2016-04-07,Morgan Stanley,Overweight,,main
2016-04-11,Pivotal Research,Buy,,up
2016-04-18,Credit Suisse,Outperform,,main
2016-04-22,JMP Securities,Market Outperform,,main
2016-04-22,SunTrust Robinson Humphrey,Buy,,main
2016-04-22,B. Riley,Buy,,main
2016-04-22,Jefferies,Buy,,main
2016-04-22,Macquarie,Buy,,main
2016-04-22,Stifel Nicolaus,Buy,,main
2016-04-22,Cantor Fitzgerald,Buy,,main
2016-04-22,Morgan Stanley,Overweight,,main
2016-04-22,Oppenheimer,Outperform,,main
2016-04-22,Baird,Outperform,,main
2016-06-08,Maxim Group,Overweight,,main
2016-06-29,Goldman Sachs,Buy,,main
2016-07-29,JMP Securities,Market Outperform,,main
2016-07-29,SunTrust Robinson Humphrey,Buy,,main
2016-07-29,Citigroup,Buy,,main
2016-07-29,UBS,Buy,,main
2016-07-29,CLSA,Buy,,main
2016-07-29,Credit Suisse,Outperform,,main
2016-07-29,Jefferies,Buy,,main
2016-07-29,Deutsche Bank,Buy,,main
2016-09-27,Wedbush,Underperform,,down
2016-10-17,Credit Suisse,Outperform,,main
2016-12-21,Aegis Capital,Buy,,init
2017-03-20,Pivotal Research,Hold,,down
2017-03-27,Nomura,Buy,,main
2017-03-28,Barclays,Overweight,,init
2017-03-31,Loop Capital,Hold,,init
2017-04-04,BMO Capital,Market Perform,,down
2017-06-15,Canaccord Genuity,Hold,,down
2017-07-25,Morgan Stanley,Overweight,,main
2017-07-25,JMP Securities,Market Outperform,,main
2017-07-25,Bank of America,Buy,,main
2017-08-16,SunTrust Robinson Humphrey,Buy,,init
2017-09-27,Wells Fargo,Outperform,,main
