"","name","position","ovr","out","ins","pla","ath","def","reb","xbox","ps4","pc","NA"
"1",NA,"Kobe Bryant","SG",99,98,93,91,94,91,74,NA,NA,NA
"2",NA,"Wilt Chamberlain","C",99,65,95,68,89,88,98,NA,NA,NA
"3",NA,"Jerry West","PG",99,97,68,94,90,85,65,NA,NA,NA
"4",NA,"Kobe Bryant","SG",99,97,82,82,89,83,60,NA,NA,NA
"5",NA,"Michael Jordan","SG",99,94,85,86,91,91,66,NA,NA,NA
"6",NA,"Tim Duncan","PF",99,74,95,73,87,95,98,NA,NA,NA
"7",NA,"Bob Pettit","PF",99,90,89,66,85,88,97,NA,NA,NA
"8",NA,"Elgin Baylor","SF",99,91,84,82,89,86,94,NA,NA,NA
"9",NA,"Isiah Thomas","PG",99,94,69,98,90,83,40,NA,NA,NA
"10",NA,"Charles Barkley","PF",99,95,98,89,95,97,98,NA,NA,NA
"11",NA,"Kevin Love","PF",99,90,89,75,83,82,97,NA,NA,NA
"12",NA,"Dwyane Wade","SG",99,89,84,93,92,90,65,NA,NA,NA
"13",NA,"Shaquille O'Neal","C",99,47,88,75,88,95,98,NA,NA,NA
"14",NA,"Patrick Ewing","C",99,85,95,73,87,93,98,NA,NA,NA
"15",NA,"Michael Jordan","SG",99,97,96,95,96,95,80,NA,NA,NA
"16",NA,"Russell Westbrook","PG",99,97,83,98,98,91,97,NA,NA,NA
"17",NA,"Stephen Curry","PG",98,99,70,98,92,86,78,NA,NA,NA
"18",NA,"Lebron James","SF",98,94,94,95,97,92,74,NA,900000,NA
"19",NA,"Kevin Durant","SF",98,98,88,85,84,91,82,NA,NA,NA
"20",NA,"Magic Johnson","PG",98,95,90,99,96,95,89,NA,620000,NA
"21",NA,"Shaquille O'Neal","C",98,55,95,75,90,96,99,NA,400000,NA
"22",NA,"Bill Russell","C",98,57,96,79,92,97,99,NA,180000,NA
"23",NA,"Larry Bird","SF",98,96,88,92,89,96,94,NA,300000,NA
"24",NA,"James Harden","SG",98,98,85,98,91,80,88,NA,210000,NA
"25",NA,"Kareem Adbul-Jabbar","C",98,83,98,85,90,95,98,NA,200000,NA
"26",NA,"Karl Malone","PF",98,88,98,80,96,94,98,NA,NA,NA
"27",NA,"Allen Iverson","SG",98,96,71,97,95,84,53,NA,180000,NA
"28",NA,"Dennis Rodman","PF",98,77,88,61,92,98,99,NA,29000,NA
"29",NA,"Anthony Davis","PF",98,87,97,65,91,94,97,NA,NA,NA
"30",NA,"Hakeem Olajuwon","C",98,82,94,74,84,97,98,NA,400000,NA
"31",NA,"Russell Westbrook","PG",98,96,76,97,95,86,93,NA,290000,NA
"32",NA,"Oscar Robertson","PG",98,96,85,98,94,90,94,300000,270000,NA
"33",NA,"Wilt Chamberlain","C",98,54,87,70,84,87,98,NA,NA,NA
"34",NA,"John Stockton","PG",98,97,70,99,92,90,51,NA,NA,NA
"35",NA,"Kevin McHale","PF",98,63,85,56,77,91,98,NA,NA,NA
"36",NA,"Magic Johnson","PG",98,84,78,98,91,89,73,NA,NA,NA
"37",NA,"James Worthy","SF",98,83,95,73,86,81,81,NA,NA,NA
"38",NA,"Adrian Dantley","SF",97,90,88,80,90,76,74,NA,NA,NA
"39",NA,"Mitch Richmond","SG",97,96,78,80,90,78,60,NA,NA,NA
"40",NA,"Walt Frazier","PG",97,89,66,95,90,84,55,NA,NA,NA
"41",NA,"Sidney Moncrief","SG",97,87,78,83,91,86,69,NA,NA,NA
"42",NA,"Dave Cowens","C",97,79,88,61,76,84,97,NA,NA,NA
"43",NA,"Alonzo Mourning","C",97,66,90,44,81,93,95,NA,NA,NA
"44",NA,"Larry Bird","SF",97,94,75,86,75,88,76,NA,NA,NA
